iter	Passed	Remaining
0	63	38214
1	68	20502
2	72	14440
3	75	11313
4	78	9399
5	82	8144
6	85	7200
7	88	6519
8	91	5991
9	94	5565
10	97	5207
11	100	4906
12	102	4643
13	105	4423
14	108	4237
15	111	4070
16	114	3920
17	117	3784
18	119	3657
19	122	3541
20	124	3444
21	127	3351
22	130	3261
23	132	3182
24	135	3112
25	138	3050
26	140	2986
27	143	2926
28	145	2870
29	148	2819
30	150	2770
31	153	2725
32	156	2684
33	158	2644
34	161	2607
35	164	2569
36	166	2535
37	169	2499
38	171	2469
39	174	2441
40	177	2417
41	179	2388
42	182	2363
43	185	2339
44	187	2317
45	190	2294
46	193	2272
47	195	2246
48	198	2227
49	200	2208
50	203	2188
51	205	2170
52	208	2154
53	211	2138
54	214	2121
55	216	2105
56	219	2089
57	222	2075
58	224	2061
59	227	2047
60	230	2034
61	232	2019
62	235	2005
63	237	1992
64	240	1979
65	243	1969
66	246	1958
67	248	1946
68	251	1934
69	253	1922
70	256	1911
71	259	1899
72	261	1890
73	264	1879
74	267	1869
75	269	1860
76	272	1851
77	275	1841
78	277	1833
79	280	1823
80	283	1814
81	285	1805
82	288	1796
83	291	1788
84	293	1780
85	296	1772
86	299	1765
87	302	1759
88	305	1753
89	308	1746
90	310	1739
91	313	1732
92	316	1726
93	319	1719
94	322	1712
95	324	1705
96	327	1699
97	330	1692
98	333	1687
99	336	1681
100	339	1674
101	341	1667
102	344	1660
103	346	1654
104	349	1649
105	352	1643
106	355	1637
107	358	1632
108	361	1627
109	364	1622
110	367	1617
111	370	1613
112	373	1609
113	376	1604
114	379	1599
115	382	1594
116	385	1589
117	387	1584
118	390	1579
119	393	1573
120	396	1568
121	399	1564
122	402	1560
123	405	1555
124	408	1550
125	410	1545
126	413	1541
127	416	1536
128	419	1531
129	422	1527
130	425	1522
131	427	1517
132	430	1512
133	433	1508
134	436	1503
135	439	1498
136	442	1493
137	445	1490
138	448	1485
139	451	1482
140	453	1477
141	456	1473
142	459	1468
143	462	1463
144	464	1459
145	467	1454
146	470	1450
147	473	1446
148	476	1441
149	479	1437
150	481	1432
151	484	1428
152	487	1423
153	490	1420
154	493	1416
155	496	1413
156	499	1409
157	502	1405
158	505	1402
159	508	1397
160	511	1394
161	514	1390
162	517	1386
163	519	1382
164	522	1378
165	525	1373
166	528	1369
167	530	1365
168	533	1361
169	536	1358
170	539	1353
171	542	1349
172	545	1346
173	548	1341
174	550	1337
175	553	1334
176	557	1331
177	560	1328
178	563	1326
179	567	1324
180	571	1321
181	574	1319
182	577	1316
183	580	1312
184	583	1309
185	586	1306
186	589	1302
187	592	1299
188	596	1296
189	599	1292
190	601	1288
191	604	1285
192	607	1281
193	610	1278
194	613	1274
195	616	1270
196	619	1266
197	621	1262
198	624	1259
